l,N,k,d,output_degree,output_gate
3,1533,2,2,deg1,T
3,2040,3,2,deg3,CCZ
3,2044,2,2,deg2,CS
3,2046,1,2,deg1,T
4,16,4,2,deg4,CCCZ
4,16,5,2,deg4,CCCZ
4,24,3,2,deg3,CCS
4,24,4,2,deg3,CCS
4,28,2,2,deg2,CT
4,28,3,2,deg3,CCS
4,30,1,2,deg1,sqrt(T)
4,30,2,2,deg1,sqrt(T)
4,31,1,3,deg1,sqrt(T)
4,42,4,2,deg4,CCCZ
4,44,4,2,deg1,sqrt(T)
4,48,4,2,deg4,CCCZ
4,48,5,2,deg4,CCCZ
4,56,3,2,deg3,CCS
4,56,4,2,deg3,CCS
4,56,6,2,deg4,CCCZ
4,58,6,2,deg1,sqrt(T)
4,60,2,2,deg2,CT
4,60,3,2,deg1,sqrt(T)
4,60,3,2,deg3,CCS
4,61,3,2,deg1,sqrt(T)
4,62,1,2,deg1,sqrt(T)
4,62,2,2,deg1,sqrt(T)
4,63,1,3,deg1,sqrt(T)
4,90,4,2,deg4,CCCZ
4,90,5,2,deg1,sqrt(T)
4,91,5,2,deg1,sqrt(T)
4,92,4,2,deg1,sqrt(T)
4,93,2,2,deg1,sqrt(T)
4,94,2,2,deg1,sqrt(T)
4,112,4,2,deg4,CCCZ
4,112,5,2,deg4,CCCZ
4,120,3,2,deg3,CCS
4,120,4,2,deg3,CCS
4,120,6,2,deg4,CCCZ
4,120,7,2,deg1,sqrt(T)
4,122,6,2,deg1,sqrt(T)
4,124,2,2,deg2,CT
4,124,3,2,deg1,sqrt(T)
4,124,3,2,deg3,CCS
4,125,3,2,deg1,sqrt(T)
4,126,1,2,deg1,sqrt(T)
4,126,2,2,deg1,sqrt(T)
4,127,1,3,deg1,sqrt(T)
4,155,3,2,deg3,CCS
4,155,4,2,deg1,sqrt(T)
4,156,3,2,deg3,CCS
4,156,4,2,deg1,sqrt(T)
4,186,4,2,deg4,CCCZ
4,186,5,2,deg1,sqrt(T)
4,187,5,2,deg1,sqrt(T)
4,188,4,2,deg1,sqrt(T)
4,189,2,2,deg1,sqrt(T)
4,190,2,2,deg1,sqrt(T)
4,217,5,2,deg4,CCCZ
4,217,6,2,deg1,sqrt(T)
4,218,5,2,deg4,CCCZ
4,240,4,2,deg4,CCCZ
4,240,5,2,deg4,CCCZ
4,248,3,2,deg3,CCS
4,248,4,2,deg3,CCS
4,248,6,2,deg4,CCCZ
4,252,2,2,deg2,CT
4,252,3,2,deg1,sqrt(T)
4,252,3,2,deg3,CCS
4,253,3,2,deg1,sqrt(T)
4,254,1,2,deg1,sqrt(T)
4,254,2,2,deg1,sqrt(T)
4,255,1,3,deg1,sqrt(T)
4,279,4,2,deg3,CCS
4,280,4,2,deg3,CCS
4,308,7,2,deg3,CCS
4,315,3,2,deg3,CCS
4,315,4,2,deg1,sqrt(T)
4,316,3,2,deg3,CCS
4,316,4,2,deg1,sqrt(T)
4,330,6,2,deg4,CCCZ
4,341,5,2,deg4,CCCZ
4,344,7,2,deg4,CCCZ
4,346,6,2,deg1,sqrt(T)
4,347,5,2,deg1,sqrt(T)
4,378,4,2,deg4,CCCZ
4,378,5,2,deg1,sqrt(T)
4,380,4,2,deg1,sqrt(T)
4,381,2,2,deg1,sqrt(T)
4,382,2,2,deg1,sqrt(T)
4,403,6,2,deg3,CCS
4,441,5,2,deg4,CCCZ
4,496,4,2,deg4,CCCZ
4,496,5,2,deg4,CCCZ
4,500,7,2,deg4,CCCZ
4,504,3,2,deg3,CCS
4,504,4,2,deg3,CCS
4,508,2,2,deg2,CT
4,508,3,2,deg1,sqrt(T)
4,508,3,2,deg3,CCS
4,509,3,2,deg1,sqrt(T)
4,510,1,2,deg1,sqrt(T)
4,510,2,2,deg1,sqrt(T)
4,511,1,3,deg1,sqrt(T)
4,516,6,2,deg3,CCS
4,522,5,2,deg4,CCCZ
4,524,4,2,deg1,sqrt(T)
4,525,3,2,deg1,sqrt(T)
4,526,2,2,deg1,sqrt(T)
4,527,1,3,deg1,sqrt(T)
4,527,5,2,deg4,CCCZ
4,528,5,2,deg4,CCCZ
4,567,4,2,deg3,CCS
4,568,4,2,deg3,CCS
4,635,3,2,deg3,CCS
4,635,4,2,deg1,sqrt(T)
4,636,3,2,deg3,CCS
4,660,7,2,deg3,CCS
4,682,6,2,deg4,CCCZ
4,693,5,2,deg4,CCCZ
4,762,4,2,deg4,CCCZ
4,765,2,2,deg1,sqrt(T)
4,766,2,2,deg1,sqrt(T)
4,1008,4,2,deg4,CCCZ
4,1008,5,2,deg4,CCCZ
4,1016,3,2,deg3,CCS
4,1016,4,2,deg3,CCS
4,1020,2,2,deg2,CT
4,1020,3,2,deg1,sqrt(T)
4,1020,3,2,deg3,CCS
4,1022,1,2,deg1,sqrt(T)
4,1022,2,2,deg1,sqrt(T)
4,1023,1,3,deg1,sqrt(T)
4,1071,5,2,deg4,CCCZ
4,1143,4,2,deg3,CCS
4,1275,3,2,deg3,CCS
4,1533,2,2,deg1,sqrt(T)
4,2032,4,2,deg4,CCCZ
4,2040,3,2,deg3,CCS
4,2044,2,2,deg2,CT
4,2046,1,2,deg1,sqrt(T)
